OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,AgeinDays,HasName,Hour,Weekday,Month,Year,TimeofDay,IsMix,SimpleBreed,SimpleColor,Intact,Sex,Lifestage
0,16,1,2,626,318,730.0,1,18,1,3,2014,0,1,76,27,0,1,0
3,16,1,2,559,25,3285.0,1,11,7,3,2014,1,1,70,2,0,1,0
3,16,1,2,167,307,1825.0,1,18,3,2,2014,0,1,22,26,0,1,0
2,0,1,2,463,362,365.0,1,16,6,12,2013,0,0,61,28,0,1,0
0,16,1,3,1066,185,730.0,1,16,1,10,2013,0,1,159,9,0,0,0
4,12,0,1,640,104,21.0,0,15,3,5,2014,1,1,80,4,1,1,1
4,12,1,1,1066,329,150.0,1,15,2,7,2015,1,1,159,27,1,1,1
2,15,0,1,640,216,2190.0,0,16,2,1,2015,0,1,80,16,1,1,0
0,16,1,3,450,274,365.0,1,15,7,3,2014,1,1,61,23,0,0,0
4,12,1,1,450,38,90.0,1,0,5,11,2015,3,1,61,2,1,1,1
4,12,0,0,632,139,30.0,1,18,7,10,2015,0,1,78,6,1,0,1
3,16,1,3,450,88,1095.0,1,16,1,5,2015,0,1,61,4,0,0,0
3,16,1,2,559,5,1825.0,1,17,2,4,2014,0,1,70,2,0,1,0
0,16,1,2,988,5,2920.0,1,11,2,5,2014,1,0,137,2,0,1,0
0,11,1,3,847,38,60.0,0,14,1,9,2014,1,1,124,2,0,0,1
2,15,0,0,640,296,2555.0,0,11,6,11,2014,1,1,80,25,1,0,0
0,16,0,0,640,5,60.0,1,18,6,10,2014,0,1,80,2,1,0,1
0,16,1,2,1065,5,1825.0,1,17,5,9,2014,0,0,159,2,0,1,0
0,16,1,2,1066,329,365.0,1,17,1,1,2016,0,1,159,27,0,1,0
4,14,0,1,640,104,90.0,0,9,1,8,2014,2,1,80,4,1,1,1
3,16,1,2,450,130,730.0,1,18,1,3,2015,0,1,61,4,0,1,0
3,16,1,3,847,165,3285.0,1,11,1,1,2015,1,1,124,7,0,0,0
0,16,1,3,1066,250,1095.0,1,17,5,10,2015,0,1,159,18,0,0,0
3,16,0,3,640,139,1095.0,1,18,2,10,2015,0,1,80,6,0,0,0
0,16,1,3,469,38,365.0,1,14,6,1,2016,1,0,61,2,0,0,0
4,12,1,3,450,36,730.0,1,15,6,1,2015,1,1,61,2,0,0,0
3,16,1,3,1065,89,365.0,1,17,3,12,2015,0,0,159,4,0,0,0
4,12,0,2,1251,186,730.0,1,16,3,6,2014,0,1,184,10,0,1,0
3,16,1,3,1313,88,730.0,1,15,7,5,2015,1,1,202,4,0,0,0
4,14,0,0,640,86,730.0,0,9,4,6,2014,2,1,80,3,1,0,0
4,14,0,4,640,296,90.0,0,9,3,10,2015,2,1,80,25,2,2,1
0,6,1,3,958,307,30.0,1,18,1,11,2014,0,0,135,26,0,0,1
0,16,0,2,640,220,60.0,0,13,3,8,2014,1,1,80,16,0,1,1
0,11,0,2,637,167,300.0,0,19,1,2,2014,0,1,79,8,0,1,1
4,12,0,3,637,111,730.0,1,16,3,2,2016,0,1,79,4,0,0,0
0,16,0,3,637,139,60.0,1,15,1,6,2015,1,1,79,6,0,0,1
0,16,1,2,847,358,180.0,1,19,1,11,2015,0,1,124,28,0,1,1
0,16,0,3,640,104,60.0,1,19,7,11,2015,0,1,80,4,0,0,1
0,16,1,3,559,274,365.0,0,18,6,9,2014,0,1,70,23,0,0,0
4,12,1,0,559,130,180.0,1,14,4,10,2014,1,1,70,4,1,0,1
0,16,0,3,640,38,365.0,1,17,1,6,2014,0,1,80,2,0,0,0
4,12,0,1,640,139,21.0,0,18,6,9,2014,0,1,80,6,1,1,1
0,6,0,2,640,104,730.0,1,14,6,2,2016,1,1,80,4,0,1,0
0,16,1,3,234,86,330.0,1,13,7,11,2015,1,1,35,3,0,0,1
4,12,1,2,1170,307,90.0,0,16,2,3,2014,0,1,170,26,0,1,1
3,16,1,3,548,88,730.0,1,12,2,2,2014,1,0,71,4,0,0,0
4,12,1,2,1066,226,730.0,1,12,7,9,2014,1,1,159,18,0,1,0
0,16,1,2,1066,130,730.0,1,11,7,8,2015,1,1,159,4,0,1,0
0,16,0,3,631,139,120.0,1,18,5,7,2014,0,0,78,6,0,0,1
4,12,1,0,585,226,120.0,0,15,2,8,2014,1,0,70,18,1,0,1
4,14,0,0,640,291,150.0,0,9,2,9,2014,2,1,80,24,1,0,1
0,6,0,2,640,16,60.0,1,11,4,12,2015,1,1,80,2,0,1,1
4,12,1,2,450,130,2555.0,1,15,4,7,2015,1,1,61,4,0,1,0
0,6,0,2,640,38,1460.0,1,16,7,1,2016,0,1,80,2,0,1,0
4,12,0,0,640,304,21.0,0,11,5,9,2015,1,1,80,25,1,0,1
0,16,1,2,249,38,180.0,1,17,1,12,2015,0,1,39,2,0,1,1
0,16,1,0,847,38,150.0,1,17,7,8,2015,0,1,124,2,1,0,1
3,16,1,3,923,318,2920.0,1,11,4,1,2016,1,0,130,27,0,0,0
0,16,0,2,640,5,60.0,0,17,1,7,2015,0,1,80,2,0,1,1
0,16,0,3,640,68,30.0,1,18,2,7,2015,0,1,80,3,0,0,1
3,16,1,3,847,318,150.0,0,18,2,2,2016,0,1,124,27,0,0,1
4,12,0,1,640,104,30.0,1,13,7,5,2014,1,1,80,4,1,1,1
4,14,0,1,640,63,120.0,0,9,5,10,2014,2,1,80,3,1,1,1
0,16,1,3,450,353,365.0,1,11,7,8,2015,1,1,61,27,0,0,0
0,16,1,2,896,25,730.0,1,16,1,8,2014,0,0,124,2,0,1,0
4,12,0,3,640,296,4015.0,1,15,2,11,2013,1,1,80,25,0,0,0
0,6,1,2,597,307,60.0,0,9,5,6,2015,2,0,70,26,0,1,1
4,12,0,2,640,320,60.0,1,0,3,9,2015,3,1,80,27,0,1,1
0,16,0,0,640,104,60.0,1,18,5,10,2015,0,1,80,4,1,0,1
0,16,1,3,1111,26,30.0,1,14,2,4,2015,1,0,161,2,0,0,1
3,16,1,3,481,353,2555.0,1,11,2,5,2015,1,0,61,27,0,0,0
4,12,0,1,640,168,4.0,0,13,4,5,2014,1,1,80,8,1,1,1
3,16,1,2,1254,342,1460.0,1,13,2,11,2015,1,0,185,27,0,1,0
4,12,1,3,74,289,730.0,1,0,3,12,2015,3,1,15,23,0,0,0
3,16,1,3,1116,320,365.0,1,13,7,11,2015,1,1,163,27,0,0,0
3,16,1,2,1066,98,730.0,1,17,4,12,2015,0,1,159,4,0,1,0
4,12,0,0,637,104,28.0,0,18,4,9,2014,0,1,79,4,1,0,1
4,12,0,0,640,38,365.0,1,11,6,11,2015,1,1,80,2,1,0,0
0,16,1,3,1373,286,730.0,1,17,3,5,2015,0,0,219,23,0,0,0
4,14,0,1,640,216,300.0,0,12,5,10,2013,1,1,80,16,1,1,1
4,12,1,3,696,318,1460.0,1,12,7,3,2015,1,1,98,27,0,0,0
0,16,0,3,640,111,120.0,1,17,4,7,2014,0,1,80,4,0,0,1
4,12,1,3,424,353,2190.0,1,11,4,5,2015,1,0,57,27,0,0,0
0,16,1,3,962,38,270.0,0,17,6,5,2015,0,1,136,2,0,0,1
0,16,1,3,830,226,1095.0,1,14,7,9,2015,1,0,117,18,0,0,0
0,16,0,3,640,291,240.0,1,12,1,11,2014,1,1,80,24,0,0,1
0,16,1,3,1166,232,300.0,1,16,5,5,2014,0,0,168,18,0,0,1
4,12,0,2,640,339,365.0,0,0,3,9,2015,3,1,80,27,0,1,0
0,16,1,2,407,48,365.0,1,16,3,10,2015,0,1,57,3,0,1,0
0,16,1,2,847,38,365.0,1,18,6,7,2015,0,1,124,2,0,1,0
0,6,1,2,847,358,90.0,1,15,5,7,2014,1,1,124,28,0,1,1
3,16,1,1,450,163,2190.0,1,18,3,11,2013,0,1,61,7,1,1,0
4,14,0,4,632,5,365.0,0,15,3,1,2014,1,1,78,2,2,2,0
3,16,1,2,45,289,730.0,1,10,5,4,2014,2,1,10,23,0,1,0
0,16,1,3,549,289,1825.0,0,18,7,11,2013,0,1,71,23,0,0,0
2,15,0,2,632,220,4380.0,0,17,1,5,2015,0,1,78,16,0,1,0
0,16,1,3,696,252,730.0,1,12,3,4,2014,1,1,98,20,0,0,0
0,16,1,2,847,38,2190.0,1,18,7,10,2014,0,1,124,2,0,1,0
0,16,0,2,640,5,90.0,1,18,7,6,2015,0,1,80,2,0,1,1
3,16,1,3,617,307,240.0,1,11,7,2,2014,1,1,75,26,0,0,1
4,12,0,2,640,5,365.0,1,15,6,12,2013,1,1,80,2,0,1,0
4,12,0,0,640,5,5475.0,1,15,7,10,2015,1,1,80,2,1,0,0
4,12,1,0,1116,165,21.0,0,17,4,10,2014,0,1,163,7,1,0,1
0,16,1,2,595,329,150.0,1,16,5,11,2014,0,0,70,27,0,1,1
0,16,1,2,975,38,730.0,0,19,4,5,2014,0,0,136,2,0,1,0
0,6,1,3,1346,98,730.0,1,9,3,12,2014,2,1,216,4,0,0,0
3,16,1,1,125,103,730.0,1,14,6,11,2015,1,1,17,4,1,1,0
0,16,1,3,847,289,730.0,0,14,2,1,2016,1,1,124,23,0,0,0
4,12,0,0,640,139,21.0,0,18,6,9,2014,0,1,80,6,1,0,1
4,12,1,3,1066,113,365.0,1,13,5,5,2015,1,1,159,4,0,0,0
4,14,0,1,640,111,730.0,0,9,7,3,2015,2,1,80,4,1,1,0
4,12,0,1,640,104,28.0,1,15,4,10,2013,1,1,80,4,1,1,1
4,12,1,2,450,329,1460.0,1,15,3,4,2014,1,1,61,27,0,1,0
4,12,0,1,640,104,21.0,0,19,3,6,2014,0,1,80,4,1,1,1
0,6,0,1,640,5,60.0,1,8,3,5,2014,2,1,80,2,1,1,1
4,12,1,3,1170,320,365.0,1,15,3,2,2016,1,1,170,27,0,0,0
0,6,1,3,665,130,60.0,1,16,6,5,2014,0,1,86,4,0,0,1
0,16,1,3,995,38,365.0,1,17,2,11,2013,0,0,137,2,0,0,0
0,16,1,3,365,131,1095.0,0,17,3,7,2014,0,1,52,5,0,0,0
2,0,1,2,890,5,3285.0,1,18,2,1,2014,0,0,124,2,0,1,0
3,16,0,3,640,320,730.0,1,15,2,9,2015,1,1,80,27,0,0,0
4,12,1,3,754,38,1825.0,0,14,2,12,2013,1,0,103,2,0,0,0
3,16,1,1,450,38,730.0,1,18,1,11,2015,0,1,61,2,1,1,0
3,16,1,2,435,88,730.0,1,11,6,5,2015,1,0,59,4,0,1,0
3,16,1,2,695,114,2555.0,1,16,3,11,2015,0,0,98,4,0,1,0
4,14,0,0,640,111,365.0,0,9,2,7,2014,2,1,80,4,1,0,0
0,16,0,3,640,38,2190.0,1,15,7,11,2015,1,1,80,2,0,0,0
0,6,0,2,640,220,60.0,1,20,7,7,2014,3,1,80,16,0,1,1
3,16,1,3,450,276,365.0,1,18,1,5,2015,0,1,61,23,0,0,0
0,16,0,2,640,220,60.0,0,17,5,11,2013,0,1,80,16,0,1,1
3,16,1,3,1105,89,2190.0,1,14,7,11,2014,1,1,161,4,0,0,0
4,12,0,1,640,111,60.0,0,16,3,5,2015,0,1,80,4,1,1,1
0,16,1,3,450,114,730.0,1,15,4,6,2015,1,1,61,4,0,0,0
0,16,0,2,1251,186,2555.0,1,18,3,8,2014,0,1,184,10,0,1,0
0,16,0,3,640,111,90.0,1,12,1,12,2015,1,1,80,4,0,0,1
0,16,1,2,504,226,1095.0,1,18,5,11,2015,0,1,64,18,0,1,0
4,14,0,0,640,5,730.0,0,15,3,4,2014,1,1,80,2,1,0,0
0,16,1,3,664,210,2555.0,0,17,1,12,2013,0,0,86,14,0,0,0
2,15,0,1,640,327,30.0,0,17,1,5,2015,0,1,80,27,1,1,1
3,16,1,3,1066,130,730.0,1,19,7,11,2013,0,1,159,4,0,0,0
3,16,1,0,307,38,150.0,1,0,4,8,2015,3,1,42,2,1,0,1
4,12,1,2,163,38,1460.0,1,11,3,6,2015,1,0,21,2,0,1,0
3,16,1,2,847,131,730.0,1,17,5,3,2014,0,1,124,5,0,1,0
4,12,1,3,4,307,2555.0,1,0,1,2,2016,3,1,3,26,0,0,0
0,16,1,2,869,88,365.0,1,12,1,7,2014,1,0,124,4,0,1,0
4,12,0,2,640,220,30.0,0,12,4,12,2013,1,1,80,16,0,1,1
0,16,1,2,180,25,30.0,1,13,7,1,2015,1,0,22,2,0,1,1
0,16,0,2,945,320,60.0,1,14,1,9,2015,1,1,132,27,0,1,1
4,14,0,0,640,41,1095.0,0,9,3,10,2015,2,1,80,3,1,0,0
4,12,1,3,481,289,1460.0,1,13,4,7,2014,1,0,61,23,0,0,0
0,16,1,3,1066,38,365.0,1,12,7,10,2013,1,1,159,2,0,0,0
0,16,1,3,681,38,730.0,1,18,1,8,2015,0,1,95,2,0,0,0
4,12,1,3,517,131,3650.0,1,15,5,5,2015,1,0,65,5,0,0,0
0,16,0,2,640,104,60.0,1,16,7,10,2014,0,1,80,4,0,1,1
0,16,1,3,450,274,3650.0,1,18,7,4,2015,0,1,61,23,0,0,0
0,6,0,3,632,111,730.0,1,14,1,7,2015,1,1,78,4,0,0,0
3,16,1,3,1170,320,2555.0,1,11,2,7,2014,1,1,170,27,0,0,0
0,16,1,2,285,276,365.0,0,17,2,8,2014,0,0,40,23,0,1,0
4,12,1,2,1066,98,1825.0,1,13,5,9,2015,1,1,159,4,0,1,0
3,16,1,3,450,31,2190.0,1,17,2,3,2015,0,1,61,2,0,0,0
4,12,0,4,640,104,7.0,0,15,7,8,2015,1,1,80,4,2,2,1
2,3,1,3,1066,289,2555.0,0,18,5,7,2014,0,1,159,23,0,0,0
0,16,1,2,438,5,365.0,1,17,4,10,2013,0,1,60,2,0,1,0
0,16,1,2,823,329,365.0,1,12,5,7,2014,1,0,117,27,0,1,0
4,12,0,0,640,216,14.0,0,17,1,5,2015,0,1,80,16,1,0,1
4,14,0,0,640,216,365.0,0,15,3,12,2013,1,1,80,16,1,0,0
3,16,1,2,695,25,1825.0,1,14,4,12,2014,1,0,98,2,0,1,0
3,16,1,3,1197,36,730.0,1,11,2,8,2014,1,1,173,2,0,0,0
0,16,1,2,1255,338,300.0,1,17,3,3,2014,0,1,185,27,0,1,1
4,12,0,0,640,5,90.0,0,14,2,5,2015,1,1,80,2,1,0,1
0,16,1,2,389,185,270.0,1,18,6,2,2014,0,0,55,9,0,1,1
4,12,0,0,640,38,30.0,0,15,2,9,2015,1,1,80,2,1,0,1
4,12,0,4,640,41,0.0,0,15,6,4,2014,1,1,80,3,2,2,1
4,14,0,3,640,139,1825.0,0,9,3,11,2015,2,1,80,6,0,0,0
0,16,1,3,450,165,240.0,0,21,7,2,2016,3,1,61,7,0,0,1
4,12,1,1,365,166,365.0,0,14,5,4,2015,1,1,52,8,1,1,0
0,6,0,3,640,216,60.0,1,10,4,10,2015,2,1,80,16,0,0,1
3,16,0,2,639,38,90.0,1,17,3,10,2013,0,0,80,2,0,1,1
3,16,1,1,450,165,5110.0,1,15,2,4,2015,1,1,61,7,1,1,0
3,16,1,2,847,150,2555.0,1,10,1,3,2014,2,1,124,7,0,1,0
0,16,1,2,1235,204,730.0,1,11,1,1,2016,1,0,183,12,0,1,0
4,12,1,3,1105,89,180.0,1,0,5,11,2015,3,1,161,4,0,0,1
0,16,1,2,125,289,330.0,1,15,2,1,2014,1,1,17,23,0,1,1
0,16,1,2,450,289,1095.0,1,14,5,2,2015,1,1,61,23,0,1,0
4,12,0,0,632,38,60.0,1,13,6,11,2014,1,1,78,2,1,0,1
0,16,1,2,862,38,365.0,1,15,1,4,2014,1,0,124,2,0,1,0
2,15,0,0,1251,59,28.0,0,18,2,9,2014,0,1,184,3,1,0,1
2,15,1,2,450,329,1460.0,1,19,7,3,2015,0,1,61,27,0,1,0
0,16,0,2,637,216,2920.0,1,14,4,11,2013,1,1,79,16,0,1,0
0,16,0,3,640,139,90.0,1,17,4,10,2013,0,1,80,6,0,0,1
0,16,1,3,74,130,60.0,1,14,1,11,2014,1,1,15,4,0,0,1
0,16,0,3,640,296,120.0,0,12,6,8,2014,1,1,80,25,0,0,1
2,0,1,1,880,276,730.0,0,17,6,3,2014,0,0,124,23,1,1,0
3,16,1,2,559,88,2190.0,1,17,5,7,2014,0,1,70,4,0,1,0
4,12,1,3,307,98,330.0,1,13,1,8,2015,1,1,42,4,0,0,1
4,12,1,3,847,289,365.0,0,16,5,10,2015,0,1,124,23,0,0,0
4,12,1,2,1245,4,1460.0,0,16,7,11,2013,0,0,183,1,0,1,0
0,6,0,2,637,86,60.0,1,14,7,9,2014,1,1,79,3,0,1,1
4,12,1,2,1066,226,730.0,0,0,2,11,2015,3,1,159,18,0,1,0
0,16,1,3,74,228,60.0,0,17,2,11,2013,0,1,15,18,0,0,1
0,16,0,2,640,5,180.0,1,18,3,1,2015,0,1,80,2,0,1,1
0,16,0,2,640,38,2920.0,1,17,1,8,2015,0,1,80,2,0,1,0
3,16,0,2,640,104,1095.0,1,17,5,2,2014,0,1,80,4,0,1,0
0,16,1,2,450,130,730.0,1,17,1,8,2014,0,1,61,4,0,1,0
4,12,1,1,74,329,60.0,0,17,6,11,2014,0,1,15,27,1,1,1
4,12,0,0,640,296,21.0,0,13,1,9,2014,1,1,80,25,1,0,1
0,16,0,3,640,104,60.0,1,14,6,6,2015,1,1,80,4,0,0,1
0,6,1,2,696,88,1460.0,1,7,3,6,2015,2,1,98,4,0,1,0
4,12,0,2,640,111,1825.0,1,14,2,12,2013,1,1,80,4,0,1,0
0,16,1,3,1116,165,730.0,1,13,1,11,2015,1,1,163,7,0,0,0
4,14,0,0,637,139,180.0,0,15,5,10,2013,1,1,79,6,1,0,1
4,12,1,3,962,31,730.0,0,19,6,5,2014,0,1,136,2,0,0,0
3,16,1,3,539,252,3650.0,1,10,2,9,2014,2,0,67,20,0,0,0
4,14,0,1,640,38,180.0,0,9,6,12,2014,2,1,80,2,1,1,1
4,12,0,0,640,139,60.0,1,12,3,4,2014,1,1,80,6,1,0,1
0,16,1,2,518,252,180.0,1,17,7,2,2015,0,1,65,20,0,1,1
3,16,1,2,450,307,2920.0,1,18,7,1,2014,0,1,61,26,0,1,0
0,16,1,2,847,131,180.0,0,12,5,11,2015,1,1,124,5,0,1,1
4,12,0,1,1251,260,90.0,0,17,5,8,2014,0,1,184,21,1,1,1
0,16,1,3,1203,36,365.0,1,18,4,1,2014,0,0,173,2,0,0,0
0,6,1,3,450,114,365.0,1,17,2,3,2015,0,1,61,4,0,0,0
0,16,1,2,307,307,60.0,1,18,2,5,2014,0,1,42,26,0,1,1
4,12,0,4,640,63,14.0,0,18,6,5,2014,0,1,80,3,2,2,1
0,16,1,3,450,274,730.0,0,18,7,1,2014,0,1,61,23,0,0,0
